4114,4
4115,6
1,1
4175,5
4101,4
4107,6
4110,6
4098,6
4099,6
4141,4
4142,4
4103,6
4109,6
4111,6
4116,6
4135,6
4112,6
4132,12
4119,4
4096,11
4102,4
4104,6
4105,6
4106,6
4125,4
4144,6
256,4
4381,4
4384,4
4370,7
4369,7
4383,4
4395,4
4380,4
4390,4
257,4
4392,4
258,4
259,4
4379,6
4352,6
4364,4
4400,7
4401,7
4424,4
4366,4
4361,9
4396,4
4386,4
4399,6
4407,6
4408,4
4410,4
4411,4
4446,4
4425,4
4358,4
4372,8
4378,4
4374,7
4375,7
4391,4
4415,6
4416,4
4419,4
4434,6
4441,6
4442,4
33061,6
33067,6
33068,4
33070,4
33059,6
33060,6
33072,4
33280,4
33284,6
33283,6
33291,4
33294,4
33285,6
33286,6
33287,4
33288,4
33292,4
33295,7
33296,7
4397,6
4432,6
4433,6
33299,6
33302,2
33300,6
33305,4
33306,4
33307,6
4117,6
33308,6
33309,4
33310,4
33311,6
33312,4
33313,6
33314,4
33315,4
33316,6
4406,4
4368,4
33319,4
33320,6
33321,4
33076,6
33078,6
33079,4
33080,4
33084,4
33085,9
33323,4
33324,4
33086,6
33087,6
33088,6
33089,6
33326,6
33327,4
33328,6
33329,4
33330,6
33331,6
4440,6
4444,4
4155,6
33090,4
33092,4
33332,6
33333,6
33334,4
33335,6
33336,4
33337,4
33338,6
33339,6
33341,4
33348,4
33349,4
33350,7
33351,7
33352,7
33353,7
33354,7
33355,7
33356,7
33357,7
33358,7
33359,7
33360,7
33361,7
33362,7
33363,7
33364,7
33365,7
33366,6
33368,6
33369,6
33376,4
33377,12
33496,6
33378,5
33379,4
33380,7
33381,7
33382,4
33383,6
33386,4
33497,6
33504,5
33505,6
33506,4
